시도,시군구,시설명,주소,전화번호,팩스주소,홈페이지 주소,주차대수,공-사설 구분,안치능력,식당,매점,주차장,유족대기실,장애인편의시설
충청남도,예산군,향천사 수목장,"충청남도 예산군 예산읍 향천사로 117-20 (향천리, 금오산향천사)",041-335-3556,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
전북특별자치도,김제시,(사)바울선교회 자연장지,전북특별자치도 김제시 만경읍 화포리 543-1,063-254-8418,,,,사설,0,미설치,미설치,미설치,미설치,미설치
전북특별자치도,김제시,(재)지평선전북공원묘원(자연),전북특별자치도 김제시 금구면 선암1길 290 (선암리),063-546-5011,,blog.naver.com/jb09002 ,100,사설,1300,미설치,미설치,설치,설치,미설치
전북특별자치도,완주군,(재)호정공원(자연장),전북특별자치도 완주군 화산면 운곡로 381-64 (운곡리),063-214-1009,,www.hjcloud9.com/,480,사설,33833,미설치,미설치,설치,설치,설치
전북특별자치도,임실군,경각산 수목장,전북특별자치도 임실군 신덕면 불재로 622 (신덕리),063-643-0405,,,100,사설,6000,미설치,미설치,설치,설치,미설치
전북특별자치도,고창군,고창푸른숲자연장,"전북특별자치도 고창군 신림면 왕림로 94-54 (세곡리, 고창푸른숲자연장관리사무소)",063-564-7852,063-564-7853,www.gochangpj.kr,244,공설,6922,미설치,미설치,설치,미설치,미설치
전북특별자치도,남원시,남원동북교회 자연장지,전북특별자치도 남원시 용정동 447-12,063-626-9191,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
전북특별자치도,남원시,남원시추모공원,전북특별자치도 남원시 솔터길 40-36 (광치동),063-620-5730,,,,공설,3580,미설치,미설치,미설치,미설치,미설치
전북특별자치도,전주시 완산구,대한예수교장로회 효자수목원,"전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-31 (효자동3가, 효자추모관)",063-228-6811,,www.hyojas.com/,100,사설,2570,미설치,미설치,설치,설치,설치
전북특별자치도,고창군,무장녹두숲자연장,전북특별자치도 고창군 무장면 반송길 12 (고라리),063-564-6864,063-560-2299,WWW.무장녹두숲자연장.kr,300,공설,4050,미설치,미설치,설치,미설치,설치
전북특별자치도,무주군,무주추모의집 자연장지,"전북특별자치도 무주군 무주읍 괴목로 1359-72 (당산리, 무주추모의집)",063-322-2302,063-322-2390,,,공설,3082,미설치,미설치,설치,미설치,미설치
전북특별자치도,진안군,사랑하는 우리교회 자연장지,전북특별자치도 진안군 정천면 월평리 219-3,063-275-7767,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
전북특별자치도,정읍시,서남권추모공원 자연장지,전북특별자치도 정읍시 감곡면 정읍북로 1850 (통석리),063-539-6725,063-538-6517,,10,공설,4000,설치,설치,설치,설치,설치
전북특별자치도,정읍시,서남권추모공원 제2자연장지,전북특별자치도 정읍시 감곡면 정읍북로 1850 (통석리),063-539-6725,063-538-6517,,,공설,0,미설치,미설치,미설치,미설치,미설치
전북특별자치도,순창군,순창성당자연장지,"전북특별자치도 순창군 순창읍 순창로 247 (남계리, 순창천주교회)",063-652-1004,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
전북특별자치도,전주시 완산구,에덴의정원 수목장,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-62 (효자동3가),063-226-0107,,www.eden-jungwon.co.kr,22,사설,12000,미설치,미설치,설치,설치,설치
전북특별자치도,익산시,영모묘원 자연장지,"전북특별자치도 익산시 왕궁면 호반로 173-45 (동봉리, 영모묘원납골당)",063-836-4311,,,1000,사설,33334,설치,미설치,설치,설치,설치
전북특별자치도,완주군,완주군 자연추모동산,전북특별자치도 완주군 봉동읍 우주로 270-68 (구암리),063-290-2207,,,10,공설,1879,미설치,미설치,설치,미설치,미설치
전북특별자치도,익산시,익산하늘공원 제2자연장지,"전북특별자치도 익산시 무왕로 1471-63 (석왕동, 익산공원묘지)",063-859-3840,063-859-3868,,,공설,0,미설치,미설치,미설치,미설치,미설치
전북특별자치도,익산시,익산하늘공원자연장지,"전북특별자치도 익산시 무왕로 1471-63 (석왕동, 익산공원묘지)",063-859-3840,063-859-3868,,10,공설,3947,미설치,미설치,설치,미설치,미설치
전북특별자치도,전주시 완산구,전주효자자연장,"전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-138 (효자동3가, 전주승화원)",063-239-2690,,,10,공설,4200,설치,설치,설치,설치,설치
전북특별자치도,전주시,하늘정원,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-62 (효자동3가),063-221-4446,063-221-4447,,,사설,0,미설치,미설치,미설치,미설치,미설치
전북특별자치도,고창군,홍연암 자연장지,전북특별자치도 고창군 고수면 신기길 34 (은사리),063-563-3787,,,,사설,0,미설치,미설치,미설치,미설치,미설치
전라남도,곡성군,(재)아름다운 청계공원 자연장지,전라남도 곡성군 곡성읍 청계동로 457 (신기리),061-362-1199,,https://061-362-1199.ezbuilder.co.kr/,,사설,0,미설치,미설치,미설치,미설치,미설치
전라남도,고흥군,고흥군립하늘공원 자연장,전라남도 고흥군 고흥읍 호형리 399,061-830-5643,061-830-5880,https://www.law.go.kr/자치법규/고흥군립하늘공원설치및운영조례,,공설,0,미설치,미설치,미설치,미설치,미설치
전라남도,광양시,광양시립영세공원 자연장지,전라남도 광양시 광양읍 직동1길 300 (죽림리),061-762-4449,061-762-4494,cemetery.gwangyang.go.kr/pr/info/nature,,공설,12000,미설치,미설치,설치,설치,미설치
전라남도,구례군,구례군 공설자연장지,"전라남도 구례군 마산면 당몰샘로 129-49 (사도리, 구례군자연장지관리사무소)",061-782-7712,061-782-7714,,20,공설,8500,미설치,미설치,설치,설치,미설치
전라남도,해남군,남도광역추모공원(자연장),전라남도 해남군 황산면 호교길 241-250 (일신리),061-530-5141,061-530-5582,https://www.law.go.kr/자치법규/해남군남도광역추모공원의설치및운영조례/,,공설,0,미설치,미설치,미설치,미설치,미설치
전라남도,보성군,늘푸른수목장,전라남도 보성군 노동면 평동로 877-14 (옥마리),061-852-7879,,www.nllpoorn.com,50,사설,0,미설치,미설치,설치,설치,미설치
전라남도,보성군,대한불교조계종 대원사,전라남도 보성군 문덕면 죽산길 506-8 (죽산리),061-852-1755,,,100,사설,60,미설치,미설치,설치,미설치,미설치
전라남도,함평군,대한불교조계종 용천사,전라남도 함평군 해보면 광암리 409,061-322-1445,,https://www.용천사자연수목장.com,100,사설,700,설치,미설치,설치,설치,설치
전라남도,함평군,대한예수교장로회 함평교회,전라남도 함평군 함평읍 장년리 86-3,061-324-1324,,,5,사설,300,미설치,미설치,설치,미설치,미설치
전라남도,함평군,대한예수장로회 아름기도회 자연장지,"전라남도 함평군 대동면 고막천로 1137 (금곡리, 아름기도회묘지관련시설)",062-433-9191,,www.kcck.co.kr,10,사설,2000,미설치,미설치,설치,설치,미설치
전라남도,영암군,목포남부교회 남부소망동산,전라남도 영암군 학산면 신덕리 3-6,061-244-4043,,,,사설,0,미설치,미설치,미설치,미설치,미설치
전라남도,무안군,목포중앙교회 자연장지,전라남도 무안군 청계면 남성리 90,,,,,사설,0,미설치,미설치,미설치,미설치,미설치
전라남도,장성군,백양사 수목장,"전라남도 장성군 북하면 백양로 1239 (약수리, 백양사)",061-392-2304,,www.백양사수목장.com,100,사설,0,설치,설치,설치,설치,미설치
전라남도,순천시,베다니수목장,전라남도 순천시 서면 압곡리 156-2,061-744-7915,,,,사설,0,미설치,미설치,미설치,미설치,미설치
전라남도,진도군,보배숲추모공원(군립),"전라남도 진도군 진도읍 진도대로 7363-110 (동외리, 관리사무소)",061-544-6101,,,,공설,0,미설치,미설치,미설치,미설치,미설치
전라남도,진도군,보배숲추모공원(산림조합),"전라남도 진도군 진도읍 진도대로 7363-110 (동외리, 관리사무소)",061-544-6101,061-544-6105,jindo.nfcf.or.kr,100,사설,3000,설치,설치,설치,설치,미설치
전라남도,함평군,사랑의빛교회 천제모동산,전라남도 함평군 손불면 석창리 637-16,062-371-9206,,,,사설,0,미설치,미설치,미설치,미설치,미설치
전라남도,완도군,수향사 추모공원,"전라남도 완도군 고금면 고금로 667-105 (덕암리, 수향사)",--,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
전라남도,순천시,순천시립자연장지,전라남도 순천시 용수동길 920 (삼거동),061-749-4520,061-749-4520,www.suncheon.go.kr,,공설,3000,미설치,미설치,미설치,미설치,미설치
전라남도,함평군,실상산문종실상선원자연장,전라남도 함평군 대동면 운교리 산 79-10,02-222-5555,,,,사설,0,미설치,미설치,미설치,미설치,미설치
전라남도,신안군,압해중앙동산,전라남도 신안군 압해읍 신용리 산34,061-271-9201,061-271-9202,,,사설,0,미설치,미설치,미설치,미설치,미설치
전라남도,여수시,여수시영락공원 자연장지(수목·잔디),"전라남도 여수시 소라면 의곡길 494 (봉두리, 영락공원)",061-659-1795,,yeosu.go.kr,,공설,2664,미설치,미설치,설치,미설치,미설치
전라남도,영광군,영광군 공설추모공원 자연장지,전라남도 영광군 군남면 광암로 174,061-351-9870,061-351-9875,,,공설,0,미설치,미설치,미설치,미설치,미설치
전라남도,담양군,오룡군립묘원 자연장지,전라남도 담양군 무정면 오룡리 산29,061-380-3384,,www.damyang.go.kr,50,공설,800,미설치,미설치,설치,설치,미설치
전라남도,보성군,옥마기도회,전라남도 보성군 노동면 평동로 877-14 (옥마리),061-852-7811,,,50,사설,100,미설치,미설치,설치,미설치,미설치
전라남도,완도군,완도군추모공원 자연장지(수목·잔디),전라남도 완도군 군외면 청해진서로 1702 (삼두리),061-550-5322,,,57,공설,328,설치,설치,설치,설치,미설치
전라남도,완도군,완도안디옥교회 자연장지,전라남도 완도군 군외면 당인리 429-1,061-554-1004,,,,사설,0,미설치,미설치,미설치,미설치,미설치
전라남도,순천시,원산교회 자연장지,전라남도 순천시 별량면 죽산리 158,061-742-5568,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
전라남도,장성군,자연숲추모공원 수목장림,전라남도 장성군 삼계면 영장로 900-53 (부성리),061-395-2040,061-395-2054,jangseong.nfcf.or.kr,100,사설,13760,미설치,미설치,설치,설치,미설치
전라남도,장흥군,장흥공설자연장지,"전라남도 장흥군 장흥읍 금산신기길 131 (금산리, 공원묘지관리실)",061-860-5864,,,30,공설,0,미설치,미설치,설치,미설치,미설치
전라남도,무안군,지구촌교회 자연장지,전라남도 무안군 몽탄면 달산리 산257-17 ,,,,,사설,0,미설치,미설치,미설치,미설치,미설치
전라남도,함평군,한국기독교장로회함평읍교회,전라남도 함평군 손불면 석창리 88-17,061-323-9191,,,,사설,0,미설치,미설치,미설치,미설치,미설치
전라남도,함평군,함평중앙교회 부활동산,전라남도 함평군 함평읍 옥산리 242-9,061-324-2369,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상북도,성주군,(재)남양공원묘원 자연장지,경상북도 성주군 선남면 관용로 401-41 (오도리),054-932-4444,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상북도,성주군,(재)우성공원묘원 자연장지,"경상북도 성주군 선남면 관용로 470-54 (용신리, 우성공원사무소)",054-933-4774,,woosungpark.com,900,사설,0,미설치,미설치,미설치,미설치,미설치
경상북도,영천시,개원추모공원 자연장지,경상북도 영천시 신녕면 장수로 2238-9 (화남리),054-336-0992,,www.gwpark.net/,,사설,0,미설치,미설치,미설치,미설치,미설치
경상북도,경주시,경주하늘수목장림,경상북도 경주시 건천읍 하늘마루길 274 (용명리),054-753-3535,,,50,사설,23928,미설치,미설치,설치,설치,설치
경상북도,김천시,기독교대한감리회 애향숙,경상북도 김천시 어모면 용문산길 588-20 (능치리),054-435-5810,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상북도,김천시,김천시립추모공원(자연장지),경상북도 김천시 봉산면 영남대로 431 (신암리),054-421-1621,054-437-1820,https://www.gcfmc.or.kr/gc_memorialpark/main.tc,307,공설,307,설치,미설치,설치,설치,미설치
경상북도,칠곡군,남흥교회 자연장지,경상북도 칠곡군 가산면 송학리 산15-5,053-474-6711,053-474-6712,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상북도,경주시,늘푸른교회,경상북도 경주시 강동면 단구리 산31-3,053-752-5269,,,0,사설,0,미설치,미설치,미설치,미설치,미설치
경상북도,고령군,대구남덕교회부활동산,경상북도 고령군 성산면 사부리 산131,054-950-6213,,www.namduk.org/,30,사설,1000,미설치,미설치,설치,미설치,미설치
경상북도,청도군,대성교회 자연장지,경상북도 청도군 화양읍 고평리 산19-3 ,054-371-2836,,lovejoy.org,5,사설,500,미설치,미설치,설치,미설치,미설치
경상북도,경주시,대원사추모공원 자연장지,"경상북도 경주시 양남면 명주길 864-5 (효동리, 대원사)",054-743-1945,,www.daeonesa.com,,사설,0,설치,미설치,설치,설치,설치
경상북도,안동시,대한불교조계종세심사 상락향수목장림,경상북도 안동시 와룡면 선돌길 112-55 (가구리),054-857-1900,,,50,사설,300,미설치,미설치,설치,설치,미설치
경상북도,경주시,무일선원 수목장림,"경상북도 경주시 감포읍 회곡길 127 (대본리, 관음사)",054-753-8228,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상북도,성주군,삼광사추모공원 자연장지,"경상북도 성주군 월항면 지산로 208 (지방리, 삼광사)",054-971-5669,,,200,사설,300,설치,미설치,설치,미설치,미설치
경상북도,영덕군,삼사교회 자연장지,경상북도 영덕군 강구면 삼사리 457,054-733-4588,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상북도,경주시,용주사 자연장지,경상북도 경주시 서면 하늘마루길 328 (도리),054-753-5678,,https://yongjusa.com/,,사설,0,미설치,미설치,설치,설치,미설치
경상북도,울릉군,울릉하늘섬공원 자연장지,경상북도 울릉군 서면 태하령길 314 (남서리),054-791-1888,,,,공설,0,미설치,미설치,미설치,미설치,미설치
경상북도,울진군,울진군립추모원(자연장지),경상북도 울진군 울진읍 대흥신림로 1046-280 (신림리),054-789-6109,054-789-3640,,52,공설,0,미설치,미설치,설치,미설치,미설치
경상북도,포항시,원진사지장회수목장,경상북도 포항시 남구 동해면 금광로438번길 108 (신정리),054-274-9443,,,,사설,300,미설치,미설치,미설치,미설치,미설치
경상북도,영천시,은해사 자연장지,"경상북도 영천시 청통면 은해사로 300 (치일리, 은해사)",054-335-0566,,,200,사설,0,미설치,미설치,설치,설치,미설치
경상북도,의성군,의성군 천제공원(수목·잔디),경상북도 의성군 의성읍 의성길안로 287-29 (중리리),054-830-6167 ,054-833-6167,,,공설,4929,미설치,미설치,설치,미설치,미설치
경상북도,영천시,일승종개원사 자연장지,경상북도 영천시 신녕면 장수로 2238-28 (화남리),000-000-0000,000-000-0000,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상북도,영천시,죽림사 자연장지,"경상북도 영천시 금호읍 죽방길 279-57 (봉죽리, 죽림사)",054-334-1261,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상북도,김천시,천주교 김천공원묘원,경상북도 김천시 개령면 황계길 280-41 (황계리),054-433-3880,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상북도,고령군,합동다산교회 자연장지,경상북도 고령군 성산면 기족리 산 14-4,,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상북도,김천시,황금동교회 자연장지,경상북도 김천시 양천동 1153-5,054-432-5775,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상남도,밀양시,(재)만어추모공원 수목장,경상남도 밀양시 삼랑진읍 단장로 439 (우곡리),055-356-4979,055-356-4939,www.maneopark.com,100,사설,0,설치,설치,설치,설치,미설치
경상남도,남해군,고사자연장지,경상남도 남해군 설천면 진목리 산78-2,,,,,공설,0,미설치,미설치,미설치,미설치,미설치
경상남도,남해군,남해추모누리공원 자연장지,"경상남도 남해군 서면 연죽로 46-77 (연죽리, 남해공설종합묘원추모누리)",055-860-3681,055-860-3882,www.namhae.go.kr/welfare/Index.do?c=WL0601010000,50,공설,6000,설치,설치,설치,설치,설치
경상남도,거제시,늘푸른수목장(청광사),경상남도 거제시 사등면 지석로 216 (지석리),,,blog.naver.com/qkekcnrrnr,100,사설,1000,미설치,미설치,설치,설치,미설치
경상남도,고성군,대한불교조계종 계승사 극락원,경상남도 고성군 영현면 대법3길 236 (대법리),055-673-0281,055-673-0287,,15,사설,200,미설치,미설치,미설치,미설치,미설치
경상남도,사천시,사천시 누리원(자연장지),"경상남도 사천시 해안관광로 208-66 (송포동, 사천공설화장장)",055-831-4590,055-831-6529,https://www.youthsacheon.com/funeral_main.html,5,공설,20000,미설치,미설치,설치,미설치,미설치
경상남도,통영시,새소명교회동산,경상남도 통영시 도산면 도선리 산301-1,055-241-0278,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상남도,거제시,신광사 수목장,"경상남도 거제시 사등면 오량2길 108 (오량리, 신광사)",055-1855-0494,,shingwangsa.or.kr,100,사설,1000,설치,설치,설치,설치,미설치
경상남도,양산시,신불산추모공원 수목장지,"경상남도 양산시 어실로 602-1 (어곡동, 신불정사)",055-363-4666,055-363-0590,www.sbjs.kr/,55,사설,2318,미설치,미설치,설치,설치,미설치
경상남도,밀양시,여여정사 수목장,경상남도 밀양시 삼랑진읍 행곡1길 180-158 (행곡리),055-355-9247,,,,사설,1000,미설치,미설치,미설치,미설치,미설치
경상남도,고성군,올리베따노성베네딕도수도회,경상남도 고성군 대가면 송계1길 163-43 (송계리),055-674-1986,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상남도,거창군,웅양공설공원묘지,경상남도 거창군 웅양면 죽림리 산108,055-940-3892,,www.geochang.go.kr,,공설,525,미설치,미설치,미설치,미설치,미설치
경상남도,남해군,이동무림삼자자연장지,경상남도 남해군 이동면 무림리 산206,,,,,공설,0,미설치,미설치,미설치,미설치,미설치
경상남도,창원시 마산합포구,장수암 자연장지,"경상남도 창원시 마산합포구 구산면 원전1길 141 (심리, 장수암)",055-221-1510,,,100,사설,0,설치,미설치,설치,설치,설치
경상남도,밀양시,재단법인 효심추모관 자연장지,경상남도 밀양시 삼랑진읍 삼랑진로 605 (미전리),055-802-7091,,www.효심추모공원.com,120,사설,0,미설치,설치,설치,설치,설치
경상남도,거제시,저높은교회 자연장지,경상남도 거제시 삼거동 602,055-637-3439,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상남도,진주시,진주대광교회 자연장지,경상남도 진주시 대곡면 와룡리 50-1,055-761-6866,,,,사설,680,미설치,미설치,미설치,미설치,미설치
경상남도,진주시,진주제일교회 수목장,경상남도 진주시 일반성면 운천리 산96,055-757-3535,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상남도,밀양시,천불사 수목장,경상남도 밀양시 삼랑진읍 행곡3길 68-72 (행곡리),,,,,사설,0,미설치,미설치,미설치,미설치,미설치
경상남도,밀양시,천탑사 수목장(그린피아),경상남도 밀양시 삼랑진읍 화성길 13-47 (미전리),055-351-4440,,www.greenpiapark.co.kr,,사설,1800,미설치,미설치,설치,설치,미설치
경상남도,하동군,하늘동산 자연장지,경상남도 하동군 양보면 우복리 1078-3,055-882-9190,,,10,사설,0,미설치,미설치,미설치,미설치,미설치
경상남도,함안군,함안하늘공원(자연장지),"경상남도 함안군 가야읍 함마대로 1145 (사내리, 함안하늘공원)",055-585-7182,055-585-7185,hamanhaneul.or.kr/,90,공설,15000,미설치,미설치,설치,미설치,미설치
경상남도,함양군,함양공설자연장지,경상남도 함양군 함양읍 구룡리  749번지,055-960-4924,055-960-5728,,,공설,0,미설치,미설치,미설치,미설치,미설치
경상남도,함양군,함양하늘공원(자연장지),"경상남도 함양군 지곡면 함양로 2139-2 (마산리, 하늘공원)",055-964-0401,,www.parksky.co.kr/Guide/NaturalBurials.asp,,사설,0,설치,미설치,설치,미설치,미설치
경상남도,거창군,해인사 고불암수목장,경상남도 거창군 가북면 용암리 산154-4,055-934-0127,,,,사설,1000,설치,미설치,설치,설치,설치
경상남도,김해시,휴안추모공원,"경상남도 김해시 상동면 상동로 178-54 (우계리, 불조사)",055-724-4755,,,15,사설,500,설치,설치,설치,설치,설치
제주특별자치도,서귀포시,서귀포추모공원 자연장지,제주특별자치도 서귀포시 돈내코로 295-28 (상효동),064-732-1893,,www.jeju.go.kr/wel/burial/facInfo/chumo/cremationInfo.htm,,공설,4000,설치,설치,설치,설치,미설치
제주특별자치도,서귀포시,성산읍공설자연장지,제주특별자치도 서귀포시 성산읍 수산리 4711,064-760-4234,064-760-4209,,,공설,0,미설치,미설치,미설치,미설치,미설치
제주특별자치도,제주시,용강별숲공원(구 동부공설묘지),제주특별자치도 제주시 용강6길 366-1 (용강동),064-728-2562,064-728-2529,,,공설,0,미설치,미설치,미설치,미설치,미설치
제주특별자치도,제주시,제주시어승생한울누리공원,"제주특별자치도 제주시 산록북로 70 (연동, 어승생한울누리공원)",064-728-2565,,www.jeju.go.kr/wel/burial/facInfo/hanul.htm,,공설,15578,설치,설치,설치,설치,미설치
제주특별자치도,제주시,제주영락동산,제주특별자치도 제주시 구좌읍 덕천리 427-1,064-753-1231,064-757-5553,www.jejuyn.or.kr/main/sub.html?pageCode=47,,사설,6264,미설치,미설치,미설치,미설치,미설치
